Etappennummer;Titel;Kurztext;Streckenbeschreibung;Ausgangspunkt;Endpunkt;Höhenmeter bergauf;Höhenmeter bergab;Höchster Punkt;Schwierigkeitsgrad;Streckenlänge (in km);Gehzeit (in Stunden);Einkehrmöglichkeiten;ID in GPS-Track
1;Adlerweg-Etappe 1: St. Johann – Gaudeamushütte;Die erste Etappe am Adlerweg führt vom St. Johanner Ortsteil Hinterkaiser zur Gaudeamushütte auf 1.263 Metern Seehöhe. Zei besondere Naturschauspiele entlang der Strecke sind der imposante Schleierwasserfall und die Höhle Diebsöfen.;Start im Ortszentrum von St. Johann in Tirol beim Tourismusbüro (ca. 250 Meter von Bahnhof entfernt). Wer mit dem Auto anreist hat die Möglichkeit auf dem öffentlichen Parkplatz (kostenlos) bei Koasastadion zu parken (ca. 400 Meter vom Tourismusbüro entfernt). Vom Tourismusbüro ausgehend geht man geradeaus Richtung Kreisverkehr zur Hauptstraße, dort biegt man bei der großen Hinweistafel Hinterkaiser ab und geht auf dem Hinterkaiserweg weiter in Richtung Rummlerhof. Vom Rummlerhof (Bauernhof mit angeschlossenem Wirtshaus) im St. Johanner Ortsteil Hinterkaiser auf schmalem, asphaltierten Fahrweg nach Westen Richtung „Haus Maurerhof“. Bald darauf der Beschilderung „Schleierwasserfall“ folgen. Links am (Bauern-)Haus Nr. 80 vorbei („Wasserfall, Nr.33“). Nun auf Weg bzw. Steig in den Wald und mäßig steil aufwärts. Es wird eine Forststraße überquert, jenseits der Forststraße dem Steig mit der rot-weißen Markierung folgen und den Bach entlang nach oben. Der Steig mündet in einen Forstweg – hier links und wenig später wieder rechts Richtung „Schleierwasserfall“ halten (bis zum Schleierwasserfall stets auf dem Weg Nr. 33 bleiben). Weiter durch den Wald und über den Steig (eine seilversicherte Stelle) nach Diebsöfen. Hier rinnt ein Bach unter einer Felswand vorbei, in der sich eine Höhle befindet. Hinunter ins Bachbett und den Markierungen in der Höhle folgen (Steig führt durch die Höhle durch). Von Diebsöfen auf dem Steig hinüber bzw. gemütlich nach oben zum Schleierwasser-fall („Zwickstelle Wasserfall“): Hier geht man zwischen Wasserfall und Felswand. Von hier auf dem Steig Richtung „Obere Regalm“ und ansteigend an Kletterwänden vorbei. Später vorbei an einem weiteren Wasserfall und über eine Wiese hinunter zu einer Steiggabelung – jetzt rechter Hand wieder nach oben (Nr. 817). Anschließend an „Regalm“ bzw. „Gaudeamushütte“ orientieren. Der Steig verläuft in dem Bereich im freien Almgebiet, in Folge erneut abwärts und später als Fahrweg hinüber zur Oberen Regalm („Zwickstelle Regalm“). Oberhalb der Hütte Richtung „Gaudeamushütte“ und auf dem Steig im freien Gelände zügig empor auf ein Joch (unmittelbar daneben Bergsteigergrab am Brennenden Palven). Jenseits des Sattels hinunter Richtung „Gaudeamushütte“. Der Steig leitet später unmittelbar vorbei an der Freiberghütte und recht zügig hinab zur Gaudeamushütte (Weg Nr. 35 ab dem Sattel).;Rummlerhof;Gaudeamushütte;1060;470;1572;mittelschwierig;9;5,5;Rummlerhof#Obere Regalm#Gaudeamushütte;A01
2;Adlerweg-Etappe 2: Gaudeamushütte – Hintersteiner See;Diese Etappe führt ausgehend von der Gaudeamushütte über den Klammlweg zu einem besonderem Ziel entlang des Adlerwegs: dem Hintersteiner See. Der Bergsee lockt vor allem im Hochsommer mit Badefreuden.;Von der Gaudeamushütte überwindet man über den Klammlweg fast 400 Höhenmeter bis zur Gruttenhütte, der höchstgelegenen Hütte im Kaisergebiet. Dazu hält man sich zuerst in Richtung Ellmauer Tor und biegt dann Richtung Westen auf den Steig Nr. 824, 813. Der Weg führt durch Wiesen und Latschen, nach der Querung eines trockenen Bachbettes gelangt man zum Wegweiser „Gruttenhütte über Klamml“ (Schwindelfreiheit und Trittsicherheit erforderlich). Der Weg verläuft über Steine und kleine Felsbrocken am Rand eines Gerölltrichters. Die Gaudeamushütte liegt jetzt schon deutlich unterhalb. Bald führt der schmale Weg um einen Felsen herum und man steht vor einer ca. zwei Meter langen Eisenleiter. Diese klettert man hinauf, dann geht es an einer Eisenkette entlang über einige Stufen. Links unten das Geröll, rechts die hohen Felsen, führt der Weg nun leicht bergan. Nach der Querung eines Geröllfeldes sieht man bald die Holzstufen zum Klamml-Eingang. Rechts von der Wand des Gruttenkopfs geht es steil nach oben. Der Weg ist mit Eisenklammern für Tritte und Griffe gesichert. Bei der letzten Stufe zieht man sich über einen Felsen hoch. Am Ausstieg des Klamml links halten. Neben dem schmalen Weg fällt das Gelände rechts steil ab, aber wenige Kehren später erreicht man die Kuppe, von wo ein fast ebener Weg noch ein kurzes Stück zur Gruttenhütte führt. Gleich darauf mündet von rechts der Weg vom Jubiläumssteig ein. Von der Gruttenhütte (1.620 Meter) nimmt man den Gruttenweg 14 a Richtung Südwesten.  Auf rund 1.400 Meter Höhe zweigt vom Gruttenweg im Bereich vom Krummbachegg der „Höhenweg“ Nr. 823 Richtung Westen ab (Hintersteiner See). Jetzt auf dem Höhenweg, der auch „Wilder-Kaiser-Steig“ genannt wird, im lichten Mischwald sowie durch Latschen und Kare südlich am Treffauer vorbei und um ihn herum marschieren, anschließend weiter Richtung „Kaiser Hochalm“ (unbewirtschaftet). Diese liegt auf 1.417 Meter im freien Gelände, von hier aus geht es auf markiertem Weg hinunter. Nun an der Beschilderung „Steiner Hochalm“ orientieren und dem Steig Nr. 823 folgen, der Steig verläuft durch Mischwald bergab. Am Waldrand gabelt sich die Route, an dieser Stelle rechts nach oben und dann gleich dem markierten Steig folgen, der links den Hang entlang zieht. Er führt zur Steiner Hochalm, wo man sich mit Getränken erfrischen und musikalisch erfreuen kann, denn hier gibt es oft Harfenspiel und Gesang. Südöstlich vom  Almgebäude geht es über einen Karrenweg hinab zum „Hintersteiner See“. Bald öffnet sich der Blick auf dieses schöne Naturjuwel. Später weiter auf einem Forstweg und dabei immer abwärts halten. Beim Gasthof Bärnstatt bzw. bei der Bärnstatt- Kapelle mündet der Weg in die Fahrstraße zum Hintersteiner See, hier geht es entlang der Straße rechter Hand weiter an Blumenwiesen und Häusern vorbei zum Ostufer des Sees. Auf dieser Etappe gibt es außer auf der Gaudeamus- bzw. Gruttenhütte zu Etappenbeginn und gegen Etappenende (Bärnstatt und am Hintersteiner See) keine Einkehrmöglichkeit mit Mahlzeiten.;Gaudeamushütte;Hintersteiner See;800;1130;1630;mittelschwierig;14,5;6;Gaudeamushütte#Gruttenhütte#Seestüberl#Pension Maier;A02
3;Adlerweg-Etappe 3: Hintersteiner See – Kufstein;Die dritte Etappe am Adlerweg führt vom Hintersteiner See ins Städtchen Kufstein. Vom 1.470 Meter hohen Hochegg führt die sanfte Wanderung abwärts in Richtung Kufstein, wo man die imposante Festung Kufstein besichtigen kann.;Am Parkplatz vor dem Eingang zum Strandbad den Seeweg (Nr. 822) nehmen und entlang des Südufers bis zum  „Biobauernhof Pension Maier“ wandern. Rechts am Bauernhof vorbei und beim Parkplatz Richtung Norden, wo der breite Wanderweg (ein privater Almzufahrtsweg) beginnt, der zur Walleralm führt. Auf diesem Weg (Nr. 45) bleibt man bis zur Walleralm, wobei man hauptsächlich in nördlicher Richtung u. a. links am Schafberg vorbei zuerst durch den Wald und später durch freies Gelände wandert, bis man schließlich ins Almgebiet gelangt. Auf der Walleralm mit dem Alpengasthaus Walleralm kann man einen beschaulichen Zwischenstopp einlegen. Dahinter beginnt der beschilderte Steig zur Kaindlhütte. Auf dem Steig großteils im bewaldeten Gebiet gemütlich empor zum Hochegg (1.470 Meter). Kurz vor dem Hochegg-Buckel nimmt die Steigung noch einmal deutlich zu. Auf der grasigen Kuppe, beim Gipfelkreuz des Hochegg, lohnt sich eine Pause mit Blick auf das Inntal und den Zahmen Kaiser. Nun geht es sanft weiter durch freie Flächen hinunter ins Almdorf der Steinbergalm mit der Kaindlhütte. Von der Hütte dem Forstweg hinunter folgen, der zunächst durch Almgebiet führt und in einem Bogen um die (geschlossene) Steinberghütte leitet. Die Forststraße legt einen kleinen Gegenanstieg zum Brentenjoch ein, wo linker Hand der ausgeschilderte, markierte Weg zum Lift abzweigt. Nun noch ein paar weitere Meter hinauf zur Liftstation. Mit der Sesselbahn Wilder Kaiser schwebt man anschließend bequem und aussichtsreich über zwei Sektionen hinunter in den Kufsteiner Ortsteil Sparchen. Variante: Zu Fuß besteht die Möglichkeit, über Aschenbrenner am Panoramaweg nach Kufstein zu gelangen.;Hintersteiner See;Kufstein;730;460;1463;mittelschwierig;9,5;3,5;Seestüberl#Pension Maier#Stöfflhütte#Walleralm#Kaindlhütte#Gasthof Weinbergerhaus;A03
4;Adlerweg-Etappe 4: Kufstein –  Alpengasthof Buchacker;Nicht ganz ohne Schweiß sind die mehr als 1.300 Höhenmeter dieser Adlerweg-Etappe zu bewältigen. Aber es lohnt sich! Am Ende der Strecke wartet ein besonderes Naturschauspiel: die Hundsalm-Eishöhle, eine auf knapp 1.400 Meter liegende Eis- und Tropfsteinhöhle.;In Unterlangkampfen angelangt, rechts abbiegen, durch die Unterführung, dem Weg folgend bis ins Dorf zur Kirche. Oberhalb der Kirche der Hinweistafel „Höhlensteinhaus“ folgen. Zunächst auf dem Forstweg Richtung „Höhlensteinhaus“. Bald rechts auf einen Karrenweg abzweigen. Die Route verläuft in der Folge recht steil auf einem Steig durch den Wald. Der Steig führt knapp vor dem Ziel auf eine freie Almwiese, wo sich in einer Senke das Höhlensteinhaus befindet. Unmittelbar beim Höhlensteinhaus führt ein Steig weiter Richtung „Köglhörndl“ (1.645 Meter). Die Route verläuft nun auf seinem sehr urtümlichen und steilen Steig durch den Wald in romantischer und einsamer Gegend nach oben auf den Kamm und über den Kamm bis zum Köglhörndl (1.645 Meter) mit dem Kreuz. Der Steig leitet dann wieder in den Wald hinunter. Die Route verläuft in Folge ab- und ansteigend und wieder nach oben zum Hundsalmjoch (1.637 Meter) mit dem modernen Hundsalmkreuz. Jetzt wird der Kamm verlassen, die Route führt direkt gegenüber vom Hundsalmkreuz auf markiertem Steig hinunter ins Almgelände. Durch Wiesen geht es dann auf einer Abkürzung linker Hand hinüber zum Forstweg, über den der Schlussabstieg zum Alpengasthaus Buchacker erfolgt. Kurz vorher zweigt rechter Hand der Weg zur Hundsalm Eishöhle ab (20 Minuten);Kufstein;Alpengasthaus Buchacker;1330;500;1617;mittelschwierig;11;5,5;Höhlensteinhaus#Gasthof Buchhacker;A04
5;Adlerweg-Etappe 5: Alpengasthof Buchacker – Kaiserhaus;Moderate Ansprüche an die Kondition stellt diese Adlerweg-Etappe, die vom Alpengasthaus Buchacker zum Gasthof Gwerchtwirt führt. Entlang der Strecke gibt es immer wieder wunderbare Ausblicke zum Kaisergebirge, zu den Kitzbühler Alpen, zum Rofangebirge, zu den Zillertaler und Stubaier Alpen, und bei guter Sicht sogar bis zum Großglockner und Großvenediger.;"Vom Gasthof Buchacker ein Stück den Forstweg bergab bis zur nächsten Kreuzung, hier rechts dem Wegverlauf folgen bis ins „Hasatal"". Dann weiter zur nächsten Kreuzung, hier links etwas ansteigend und dann bald rechts auf den Steig in Richtung „Nachbergalmen"" abzweigen. Nun geht es etwas steiler bergauf bis zum Nachberg Hochleger und weiter über das Almgebiet bis zum „Ascherjoch"" auf 1.458 Meter. Jetzt kommt der technisch anspruchsvollere Teil der Tour – der Weg hinauf zum „Plessenberg"", ein schwarzer Bergweg mit vier Seilpassagen. Teilweise steigt man dabei recht steil aufwärts über Steintreppen und seilversicherte Stellen bis zum Gipfel auf 1.743 Meter. Von hier aus genießt man eine herrliche Aussicht zum Kaisergebirge, zu den Kitzbühler Alpen, zum Rofangebirge, zu den Zillertaler und Stubaier Alpen, bei guter Sicht sieht man sogar bis zum Großglockner und Großvenediger. Nach der verdienten Rast geht es kurz abwärts bis zum Heubergsattel, hier rechts in Richtung Kienberg halten. Der nachfolgende Aufstieg führt durch Latschenfelder zum Gipfel vom Kienberg und damit zur höchsten Erhebung der Tour auf 1.786 Meter. Damit ist das Aufstiegspensum erfüllt. Ab jetzt geht es nur noch abwärts über schöne Almgebiete, man passiert u.a. die Einkehralm und die Heubrandalm. Der Endspurt erfolgt über einen steilen Steig von „Prama"" hinunter nach Pinegg, wo man sich nach dieser langen und fordernden Etappe im Gasthaus Gwercherwirt ausruhen kann, das inmitten unberührter Natur im Hochtal Brandenberg liegt.";Alpengasthaus Buchacker;Gasthof Gwercherwirt;980;1630;1772;leicht;18;3;Gasthof Buchhacker#Gwercherwirt;A05
6;Adlerweg-Etappe 6: Kaiserhaus – Steinberg am Rofan;Gemütlich und dennoch lohnend ist die leichte Wanderung auf dieser Adlerweg-Etappe vom Gasthof Gwerchtwirt zum Gasthof Waldhäusl in Steinberg am Rofan. ;"Von Pinegg geht es über zwei Brücken – der Brandenberger Ache und danach der Steinberger Ache – zum ersten Anstieg dieser Etappe. Er verläuft vorerst über einen Wanderweg, dann über die Forststraße zum Jägersteig der nach Aschau, einem Ortsteil von Brandenberg, führt. Man durchwandert das kleine Dorfzentrum auf der Hauptstraße bis kurz vor dem Gasthaus Haaser. Von hier aus geht es den Burgstallgraben hinauf bis zum letzten Bauernhof „Wimm"". Nach dem Weiderost rechts und weiter der Beschilderung folgen bis zum Wimmerjoch. Hier, am höchsten Punkt der Etappe, lohnt es sich, auf den grünen Almwiesen eine kleine Pause einzulegen. Anschließend links halten und abwärts in Richtung Lahnalm wandern. Kurz vor der Alm der Beschilderung zum Weißenbachgraben folgen. Sobald man den Weißenbach, den Grenzbach zwischen Brandenberg und Steinberg, überquert hat, ist es nur noch ein kurzer Weg zum Enterhof, einem stattlichen Bauernhaus mit Übernachtungsmöglichkeit. Diesen lässt man „links liegen“ und folgt der Straße hinunter ins Steinberger Loch, wobei man zum zweiten Mal auf dieser Etappe die Steinberger Ache überquert. Danach bei der ersten Möglichkeit rechts auf den Hinterbergweg einbiegen. Diesem in Richtung Norden bis nach Vordersteinberg folgen, die Straße überqueren und weiterwandern zum Bärenwaldweg. Nun nur noch diesem Weg folgen und den Ausklang des Wandertages in der idyllisch gelegenen Jausenstation Gasthof Waldhäusl am westlichen Ortsrand von Steinberg genießen. Eine bequeme Übernachtungsmöglichkeit gibt es hier auch.";Gasthof Gwercherwirt;Gasthof Waldhäusl;1100;780;1327;leicht;18;3,5;Gwercherwirt#Gasthof Waldhäusl;A06
7;Adlerweg-Etappe 7: Steinberg am Rofan – Erfurter Hütte;Von Steinberg am Rofan führt diese anspruchsvolle Adlerweg-Etappe über fast 1.600 Höhenmeter zur Erfurter Hütte. Die Route entlang des Rofangebirges ist landschaftlich äußerst reizvoll: Auf der einen Seite haben die Berge steile Felswände, auf der anderen sind sie mit sanften Almmatten gepolstert.;Vom Gasthof Waldhäusl ein paar Meter nach Südosten und dann gleich die Dorfstraße nehmen, die links von der Hauptstraße abzweigt. Nach einem kurzen Stück rechts abbiegen Richtung „Durrahof“. Auf der weitgehend verkehrsfreien Fahrstraße gemütlich hinunter ins kleine Tal des Mühlbachs, den Bach entlang und in der Folge über die Ache. Dann wieder gemütlich nach oben vorbei am Enterhof bis zum Durrahof. Ab hier orientiert man sich an der Beschilderung „Rofan“ und wandert auf einem Forstweg weiter. Später folgt man der Beschilderung „Zireiner See“ bzw. „Erfurter Hütte“, die Strecke verläuft kaum spürbar ansteigend durch lichten Wald und Wiesen. Nach einem Hof teilt sich der Weg – hier die obere Route nehmen und nicht hinunter gehen. Der Weg verwandelt sich gleich in einen Steig. Nach der Überquerung eines Bachs mit einem kleinen Wasserfall trifft der Steig auf einen Fahrweg – hier rechts auf dem Fahrweg Richtung „Bayreuther Hütte“. Bei der folgenden Weggabelung links hinauf und den Bach entlang nach oben. Später über einen Steig zu einer breiten Forststraße. Rechts weiter und gleich anschließend linker Hand den Fahrweg hinauf nehmen, der rasch zum Steig wird. Auf dem Steig im lichten Wald den Bach entlang Richtung „Zireiner See“. Der Bach wird überquert (keine Brücke), es geht nun steiler im Wald hinauf ins freie Almgelände zur idyllische Schauertalalm. Anschließend auf dem Steig nach oben Richtung „Schauertalsattel“. Der nun recht steinige, mit Wurzeln überwachsene Steig verläuft in dem Abschnitt direkt und zügig empor, vielfach durch Latschen. Man gelangt in einen Kessel – hier Richtung „Erfurter Hütte“ und südlich am Zireiner See vorbei. Nun an „Marchalm“ orientieren, wenig später Richtung „Schafsteig (Achtung bei Nässe!), Rofan“. Der Schafsteig zieht die Rofanspitz-Ostwand entlang und dann schräg nach oben, ehe er durch steiles Gelände zum Schafsteigsattel nordöstlich der Rofanspitze leitet. Vom Sattel linker Hand im sanften Wiesengelände ein kurzes Stück abwärts. Wenig später der Beschilderung „Erfurter Hütte“ bzw. „Rofanseilbahn“ folgen und auf dem Steig südlich der Rofanspitze beinahe eben hinüber zum Joch. Der Steig leitet anschließend sanft hinab in ein grünes Becken. Von hier weiter gemütlich im Almgelände hinunter zur Erfurter Hütte direkt neben der Bergstation der Rofanseilbahn. Kurz vor dem Ziel führt die Route noch an der Mauritzalm vorbei. Ab dem Schafsteigsattel folgt man stets der Beschilderung „Erfurter Hütte“ bzw. „Rofanseilbahn“. Von dort entweder zu Fuß (ca. 1 ½ Std.) oder mit der Seilbahn nach Maurach. Nahezu die gesamte Strecke verläuft entlang des Nordalpenwegs 01.;Gasthof Waldhäusl;Erfurter Hütte;1590;770;2192;schwierig;18;7;Gasthof Waldhäusl#Erfurter Hütte#Berggasthof Rofan#Mauritzalm;A07
8;Adlerweg-Etappe 8: Erfurter Hütte – Lamsenjochhütte;Diese Etappe am Adlerweg beginnt entweder mit einer Seilbahnfahrt von der Erfurter Hütte hinunter nach Maurach oder startet direkt in Maurach. Weiter führt die Route am Achensee entlang nach Pertisau und ins sanft ansteigende Falzthurntal bis zur Gramaialm.;Von der Erfurter Hütte mit der Rofanseilbahn hinunter nach Maurach oder startet bereits in Maurach. Von dort auf dem Fußweg das Süd- bzw. Südwestufer des Achensees entlang nach Pertisau zum Beginn der Mautstraße in die Karwendeltäler (in Pertisau an den Schildern „Karwendeltäler“ orientieren). Unmittelbar nach der Mautstelle links der Beschilderung „Gramaialm“ ins Falzthurntal folgen. Jetzt auf einem breiten, asphaltierten Fußweg im Wald kaum spürbar ansteigend zur Falzthurnalm mit der Sennhütte Falzthurn und dem Alpengasthof Falzthurn. Hier endet der asphaltierte Abschnitt. Anschließend auf einem sanft ansteigenden Fußweg über Wiesen weiter ins Tal hinein (nirgendwo links den Hang hinauf), hie und da das in der Regel ausgetrocknete Schotterbachbett überquerend, bis zur Gramaialm. Von der Gramaialm zunächst auf dem Fahr- bzw. Karrenweg weiter taleinwärts Richtung „Lamsenjochhütte“. Bald wird das meist ausgetrocknete Bachbett nach links überquert. Die Route zieht durch den Talboden und vorbei an der Abzweigung zum Gramai-Hochleger. Ab hier verläuft die Etappe auf einem Steig. Es geht durch den Gramaier Grund und auf den steilen Hang im Talschluss (Süden) zu, über dem rechts markant die Lamsenspitze aufragt. Der Steig leitet in der Folge ein kurzes Stück links den Hang empor, um anschließend taleinwärts Schuttreisen zu queren. Zum Schluss schraubt sich die Route in Serpentinen den zum Teil schottrigen und recht steilen Hang nach oben. Schließlich vom Joch in wenigen Schritten links hinüber zu der bereits sichtbaren Lamsenjochhütte.;Erfurter Hütte;Lamsenjochhütte;1030;70;1949;mittelschwierig;17;2;Erfurter Hütte#Berggasthof Rofan#Mauritzalm#Falzthurnalm#Sennhütte #Gramaialm#Lamsenjochhütte;A08
9;Adlerweg-Etappe 9: Lamsenjochhütte – Falkenhütte;Diese Etappe am Adlerweg führt von der 1908 errichteten Lamsenjochhütte auf knapp 2.000 Metern zur Falkenhütte. Die Tour durchquert dabei den „Großen Ahornboden“, ein Naturdenkmal mit mehr als 2.000 Bergahornen.;Von der Lamsenjochhütte auf dem Steig ein paar Meter entlang der Aufstiegsroute zurück, auf der Einsattelung jedoch Richtung „Binsalm“ bzw. „Falkenhütte“. Der Steig leitet im abschüssigen Gelände unter der Lamsenspitze hindurch sanft absteigend zum Westlichen Lamsenjoch (1.940 Meter). Auf der anderen Seite des Jochs auf dem Steig Richtung „Binsalpe“ bzw. „Eng“ absteigen. Der Steig verwandelt sich bald in einen Karren- bzw. Fahrweg. Die Route führt zunächst durch freies Gelände und vorbei am Binsalm-Hochleger. Abschnittsweise gibt es dann Abkürzungsmöglichkeiten auf einem Steig. Man gelangt zum Binsalm-Niederleger. Vom Niederleger auf einem breiten Fahrweg und einige Zeit praktisch parallel zu einem tief eingeschnittenen Tal hinunter ins Almdorf der Eng. Hinter den letzten Gebäuden in der Eng beginnt rechter Hand der breite Fußweg zur Falkenhütte. Der Weg steigt sanft an und führt durch Wiesen und Mischwald nach oben auf das Hohljoch (1.794 Meter). Vom Joch auf einem guten Steig unterhalb der Laliderer Wände hinab bis auf knapp 1.700 Meter. Dabei werden die Laliderer Reisen gequert. Der Steig zieht schließlich sanft nach oben zum Spielissjoch, die letzten Meter zur Falkenhütte werden auf einem Fahrweg zurückgelegt.;Lamsenjochhütte;Falkenhütte;810;920;1959;mittelschwierig;12,5;4,5;Lamsenjochhütte#Binsalm#Engalm#Falkenhütte;A09
10;Adlerweg-Etappe 10: Falkenhütte – Karwendelhaus;Diese Adlerweg-Etappe startet auf der Falkenhütte und führt durch Almwiesen und einem lichten Wald sanft abwärts zum Etappenziel, dem Karwendelhaus. Dabei quert die Route den „Kleinen Ahornboden“, eine Weide mit mehreren Jahrhunderte alten Ahornen.;Nördlich unterhalb der Falkenhütte folgt man der Beschilderung „Karwendelhaus“ und wandert auf einem guten Steig durch Almwiesen sanft abwärts. Später weiter abwärts über einen Fahr- bzw. Karrenweg. Vorbei an der Ladizalm mit dem historischen Almhaus und anschließend im (lichten) Wald hinunter (stets auf dem Karrenweg bleiben). Nach der Überquerung des meist ausgetrockneten, breiten Schotterbachbetts führt die Route zum Kleinen Ahornboden und mündet in eine breite Forststraße, die gleich zum Hermannvon- Barth-Denkmal und den alten Forsthäusern unmittelbar oberhalb des Denkmals führt. Auf der Forstraße links an den Forsthäusern vorbei aufwärts Richtung „Karwendelhaus“. Der Forstweg verwandelt sich im lichten Wald rasch in einen Karrenweg, später in einen Steig. Der Steig leitet in der Folge sanft durch das liebliche Untere Filztal empor, eher er später ins Almgelände zieht (insgesamt praktisch stets in gleichbleibender Richtung). Wenig später mündet der Steig in einen Fahrweg. Nun auf dem Fahrweg weiter in gleichbleibender Richtung durch die Wiesen zum Hochalmsattel mit dem Jochkreuz. Anschließend auf dem Fahrweg ein paar Meter abwärts und links hinüber zum Karwendelhaus.;Falkenhütte;Karwendelhaus;440;520;1843;mittelschwierig;9;3,25;Falkenhütte#Karwendelhaus;A10
